city,client_id
Агидель,19
Анапа,114
Ангарск,12
Армавир,93
Архангельск,29
Архангельское,10
Аскарово,30
Аскино,30
Баймак,73
Барнаул,33
Белгород,58
Белебей,125
Белово,30
Белорецк,153
Березники,6
Бийск,35
Бирск,152
Благовещенск,69
Боровичи,23
Брянск,264
Бураево,10
Великий Новгород,60
Верхнеяркеево,32
Верхние Татышлы,27
Владимир,196
Волгоград,69
Вологда,96
Вольск,13
Воронеж,68
Воскресенск,58
Воткинск,12
Геленджик,77
Глазов,9
Гусь-Хрустальный,60
Давлеканово,69
Дзержинск,41
Дубна,35
Дюртюли,97
Ейск,106
Екатеринбург,259
Жуковский,50
Зилаир,18
Златоуст,83
Иглино,52
Ижевск,87
Иркутск,48
Исянгулово,7
Ишимбай,187
Казань,57
Калининград,61
Калтан,21
Калтасы,25
Кандры,14
Каневская,10
Караидель,43
Кемерово,153
Киргиз-Мияки,18
Киселёвск,35
Клинцы,95
Ковров,53
Колпино,21
Кореновск,43
Краснодар,884
Красноусольский,35
Красноярск,61
Кропоткин,50
Кумертау,121
Кунгур,131
Курган,45
Курганинск,9
Липецк,32
Магнитогорск,65
Мегион,9
Междуреченск,13
Мелеуз,99
Месягутово,134
Миасс,31
Москва,1435
Мраково,22
Муром,52
Набережные Челны,76
Надым,23
Невинномысск,34
Нефтекамск,217
Нижневартовск,56
Нижний Новгород,134
Николо-Березовка,5
Новокузнецк,75
Новороссийск,70
Новосибирск,284
Одинцово,37
Октябрьский,218
Омск,292
Орёл,80
Осинники,82
Пенза,29
Пермь,190
Петрозаводск,61
Покров,41
Приютово,18
Прокопьевск,46
Пятигорск,12
Раевский,81
Раменское,29
Рославль,30
Ростов-на-Дону,147
Рязань,86
Салават,284
Самара,36
Санкт-Петербург,617
Сарапул,24
Саратов,105
Светлый,17
Серафимовский,22
Сергиев Посад,38
Серпухов,52
Сибай,152
Смоленск,239
Сочи,152
Ставрополь,59
Старобалтачево,35
Старосубхангулово,37
Старый Оскол,33
Стерлибашево,56
Стерлитамак,453
Сургут,56
Таганрог,48
Тамбов,49
Тверь,39
Тимашевск,33
Толбазы,63
Томск,48
Туапсе,124
Туймазы,238
Тула,53
Тюмень,109
Ульяновск,21
Уфа,2253
Учалы,190
Федоровка,25
Химки,43
Челябинск,200
Череповец,17
Чишмы,89
Чусовой,23
Юрга,83
Языково,8
Янаул,129
Янгантау,16
Ярославль,15
